,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_15,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,15,15_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_16,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,16,16_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_17,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,17,17_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_18,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,18,18_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_19,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,19,19_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_20,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,20,20_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_21,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,21,21_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_22,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,22,22_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_23,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,23,23_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_24,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,24,24_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
