,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
ZC117-MPRA3-AP1121-26-LI_REF_Barcode_28,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,28,28_REF,REF,ZC117-MPRA3-AP1121-26-LI_REF,AP1121_REF,Large_Intestine_REF
ZC117-MPRA3-AP1121-26-LI_REF_Barcode_29,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,29,29_REF,REF,ZC117-MPRA3-AP1121-26-LI_REF,AP1121_REF,Large_Intestine_REF
ZC117-MPRA3-AP1121-26-LI_REF_Barcode_30,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,30,30_REF,REF,ZC117-MPRA3-AP1121-26-LI_REF,AP1121_REF,Large_Intestine_REF
ZC117-MPRA3-AP1121-26-LI_REF_Barcode_31,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,31,31_REF,REF,ZC117-MPRA3-AP1121-26-LI_REF,AP1121_REF,Large_Intestine_REF
ZC117-MPRA3-AP1121-26-LI_REF_Barcode_32,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,32,32_REF,REF,ZC117-MPRA3-AP1121-26-LI_REF,AP1121_REF,Large_Intestine_REF
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,1,1_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,2,2_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,3,3_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,4,4_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,5,5_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_6,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,6,6_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
