,Tissue,Delivery,Date,Animal,Test,Function,Parent,Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Naive_HEK293T_ZC65_R_REF_Barcode_1,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,1,1_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_2,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,2,2_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_3,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,3,3_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_4,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,4,4_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_5,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,5,5_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_6,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,6,6_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_7,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,7,7_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_8,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,8,8_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_9,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,9,9_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_10,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,10,10_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_11,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,11,11_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_12,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,12,12_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_13,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,13,13_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_14,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,14,14_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_15,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,15,15_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_16,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,16,16_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_17,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,17,17_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_18,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,18,18_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
