,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC101-MPRA3-AP1134-26-Hippocampus_motif_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,3,3otif,tif,ZC101R-MPRA3-AP1134-26-Hippocampus_tif,AP1134_tif,Hippocampus_tif,motif
ZC101-MPRA3-AP1134-26-Hippocampus_motif_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,4,4otif,tif,ZC101R-MPRA3-AP1134-26-Hippocampus_tif,AP1134_tif,Hippocampus_tif,motif
ZC101-MPRA3-AP1134-26-Hippocampus_motif_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,5,5otif,tif,ZC101R-MPRA3-AP1134-26-Hippocampus_tif,AP1134_tif,Hippocampus_tif,motif
ZC101-MPRA3-AP1134-26-Hippocampus_ref_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,1,1_ref,ref,ZC101R-MPRA3-AP1134-26-Hippocampus_ref,AP1134_ref,Hippocampus_ref,Allele
ZC101-MPRA3-AP1134-26-Hippocampus_ref_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,2,2_ref,ref,ZC101R-MPRA3-AP1134-26-Hippocampus_ref,AP1134_ref,Hippocampus_ref,Allele
ZC101-MPRA3-AP1134-26-Hippocampus_ref_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,3,3_ref,ref,ZC101R-MPRA3-AP1134-26-Hippocampus_ref,AP1134_ref,Hippocampus_ref,Allele
ZC101-MPRA3-AP1134-26-Hippocampus_ref_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,4,4_ref,ref,ZC101R-MPRA3-AP1134-26-Hippocampus_ref,AP1134_ref,Hippocampus_ref,Allele
ZC101-MPRA3-AP1134-26-Hippocampus_ref_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,5,5_ref,ref,ZC101R-MPRA3-AP1134-26-Hippocampus_ref,AP1134_ref,Hippocampus_ref,Allele
ZC101-MPRA3-AP1134-26-Hippocampus_alt1_Barcode_1,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,1,1alt1,lt1,ZC101R-MPRA3-AP1134-26-Hippocampus_lt1,AP1134_lt1,Hippocampus_lt1,Allele
ZC101-MPRA3-AP1134-26-Hippocampus_alt1_Barcode_2,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,2,2alt1,lt1,ZC101R-MPRA3-AP1134-26-Hippocampus_lt1,AP1134_lt1,Hippocampus_lt1,Allele
ZC101-MPRA3-AP1134-26-Hippocampus_alt1_Barcode_3,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,3,3alt1,lt1,ZC101R-MPRA3-AP1134-26-Hippocampus_lt1,AP1134_lt1,Hippocampus_lt1,Allele
ZC101-MPRA3-AP1134-26-Hippocampus_alt1_Barcode_4,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,4,4alt1,lt1,ZC101R-MPRA3-AP1134-26-Hippocampus_lt1,AP1134_lt1,Hippocampus_lt1,Allele
ZC101-MPRA3-AP1134-26-Hippocampus_alt1_Barcode_5,Hippocampus,AAV-PHP-EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,5,5alt1,lt1,ZC101R-MPRA3-AP1134-26-Hippocampus_lt1,AP1134_lt1,Hippocampus_lt1,Allele
