,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC123-MPRA3-AP1134-26-LI_ref_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,2,2_ref,ref,ZC123-MPRA3-AP1134-26-LI_ref,AP1134_ref,Large_Intestine_ref,Allele
ZC123-MPRA3-AP1134-26-LI_ref_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,3,3_ref,ref,ZC123-MPRA3-AP1134-26-LI_ref,AP1134_ref,Large_Intestine_ref,Allele
ZC123-MPRA3-AP1134-26-LI_ref_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,4,4_ref,ref,ZC123-MPRA3-AP1134-26-LI_ref,AP1134_ref,Large_Intestine_ref,Allele
ZC123-MPRA3-AP1134-26-LI_ref_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,5,5_ref,ref,ZC123-MPRA3-AP1134-26-LI_ref,AP1134_ref,Large_Intestine_ref,Allele
ZC123-MPRA3-AP1134-26-LI_alt1_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,1,1alt1,lt1,ZC123-MPRA3-AP1134-26-LI_lt1,AP1134_lt1,Large_Intestine_lt1,Allele
ZC123-MPRA3-AP1134-26-LI_alt1_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,2,2alt1,lt1,ZC123-MPRA3-AP1134-26-LI_lt1,AP1134_lt1,Large_Intestine_lt1,Allele
ZC123-MPRA3-AP1134-26-LI_alt1_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,3,3alt1,lt1,ZC123-MPRA3-AP1134-26-LI_lt1,AP1134_lt1,Large_Intestine_lt1,Allele
ZC123-MPRA3-AP1134-26-LI_alt1_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,4,4alt1,lt1,ZC123-MPRA3-AP1134-26-LI_lt1,AP1134_lt1,Large_Intestine_lt1,Allele
ZC123-MPRA3-AP1134-26-LI_alt1_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,5,5alt1,lt1,ZC123-MPRA3-AP1134-26-LI_lt1,AP1134_lt1,Large_Intestine_lt1,Allele
ZC123-MPRA3-AP1134-26-LI_alt2_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,1,1alt2,lt2,ZC123-MPRA3-AP1134-26-LI_lt2,AP1134_lt2,Large_Intestine_lt2,Allele
ZC123-MPRA3-AP1134-26-LI_alt2_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,2,2alt2,lt2,ZC123-MPRA3-AP1134-26-LI_lt2,AP1134_lt2,Large_Intestine_lt2,Allele
ZC123-MPRA3-AP1134-26-LI_alt2_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,3,3alt2,lt2,ZC123-MPRA3-AP1134-26-LI_lt2,AP1134_lt2,Large_Intestine_lt2,Allele
ZC123-MPRA3-AP1134-26-LI_alt2_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,4,4alt2,lt2,ZC123-MPRA3-AP1134-26-LI_lt2,AP1134_lt2,Large_Intestine_lt2,Allele
ZC123-MPRA3-AP1134-26-LI_alt2_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,5,5alt2,lt2,ZC123-MPRA3-AP1134-26-LI_lt2,AP1134_lt2,Large_Intestine_lt2,Allele
ZC123-MPRA3-AP1134-26-LI_alt3_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,1,1alt3,lt3,ZC123-MPRA3-AP1134-26-LI_lt3,AP1134_lt3,Large_Intestine_lt3,Allele
ZC123-MPRA3-AP1134-26-LI_alt3_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,2,2alt3,lt3,ZC123-MPRA3-AP1134-26-LI_lt3,AP1134_lt3,Large_Intestine_lt3,Allele
ZC123-MPRA3-AP1134-26-LI_alt3_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,3,3alt3,lt3,ZC123-MPRA3-AP1134-26-LI_lt3,AP1134_lt3,Large_Intestine_lt3,Allele
ZC123-MPRA3-AP1134-26-LI_alt3_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,4,4alt3,lt3,ZC123-MPRA3-AP1134-26-LI_lt3,AP1134_lt3,Large_Intestine_lt3,Allele
ZC123-MPRA3-AP1134-26-LI_alt3_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1134,M,ZC123-MPRA3-AP1134-26-LI,Gut,Gut,0,1,5,5alt3,lt3,ZC123-MPRA3-AP1134-26-LI_lt3,AP1134_lt3,Large_Intestine_lt3,Allele
