,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC116-MPRA3-AP1121-26-SI_alt3_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,1,1alt3,lt3,ZC116-MPRA3-AP1121-26-SI_lt3,AP1121_lt3,Small_Intestine_lt3,Allele
ZC116-MPRA3-AP1121-26-SI_alt3_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,2,2alt3,lt3,ZC116-MPRA3-AP1121-26-SI_lt3,AP1121_lt3,Small_Intestine_lt3,Allele
ZC116-MPRA3-AP1121-26-SI_alt3_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,3,3alt3,lt3,ZC116-MPRA3-AP1121-26-SI_lt3,AP1121_lt3,Small_Intestine_lt3,Allele
ZC116-MPRA3-AP1121-26-SI_alt3_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,4,4alt3,lt3,ZC116-MPRA3-AP1121-26-SI_lt3,AP1121_lt3,Small_Intestine_lt3,Allele
ZC116-MPRA3-AP1121-26-SI_alt3_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,5,5alt3,lt3,ZC116-MPRA3-AP1121-26-SI_lt3,AP1121_lt3,Small_Intestine_lt3,Allele
ZC117-MPRA3-AP1121-26-LI_motif_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,1,1otif,tif,ZC117-MPRA3-AP1121-26-LI_tif,AP1121_tif,Large_Intestine_tif,motif
ZC117-MPRA3-AP1121-26-LI_motif_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,2,2otif,tif,ZC117-MPRA3-AP1121-26-LI_tif,AP1121_tif,Large_Intestine_tif,motif
ZC117-MPRA3-AP1121-26-LI_motif_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,3,3otif,tif,ZC117-MPRA3-AP1121-26-LI_tif,AP1121_tif,Large_Intestine_tif,motif
ZC117-MPRA3-AP1121-26-LI_motif_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,4,4otif,tif,ZC117-MPRA3-AP1121-26-LI_tif,AP1121_tif,Large_Intestine_tif,motif
ZC117-MPRA3-AP1121-26-LI_motif_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,5,5otif,tif,ZC117-MPRA3-AP1121-26-LI_tif,AP1121_tif,Large_Intestine_tif,motif
ZC117-MPRA3-AP1121-26-LI_ref_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,1,1_ref,ref,ZC117-MPRA3-AP1121-26-LI_ref,AP1121_ref,Large_Intestine_ref,Allele
ZC117-MPRA3-AP1121-26-LI_ref_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,2,2_ref,ref,ZC117-MPRA3-AP1121-26-LI_ref,AP1121_ref,Large_Intestine_ref,Allele
ZC117-MPRA3-AP1121-26-LI_ref_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,3,3_ref,ref,ZC117-MPRA3-AP1121-26-LI_ref,AP1121_ref,Large_Intestine_ref,Allele
ZC117-MPRA3-AP1121-26-LI_ref_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,4,4_ref,ref,ZC117-MPRA3-AP1121-26-LI_ref,AP1121_ref,Large_Intestine_ref,Allele
ZC117-MPRA3-AP1121-26-LI_ref_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,5,5_ref,ref,ZC117-MPRA3-AP1121-26-LI_ref,AP1121_ref,Large_Intestine_ref,Allele
ZC117-MPRA3-AP1121-26-LI_alt1_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,1,1alt1,lt1,ZC117-MPRA3-AP1121-26-LI_lt1,AP1121_lt1,Large_Intestine_lt1,Allele
ZC117-MPRA3-AP1121-26-LI_alt1_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,2,2alt1,lt1,ZC117-MPRA3-AP1121-26-LI_lt1,AP1121_lt1,Large_Intestine_lt1,Allele
ZC117-MPRA3-AP1121-26-LI_alt1_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,3,3alt1,lt1,ZC117-MPRA3-AP1121-26-LI_lt1,AP1121_lt1,Large_Intestine_lt1,Allele
ZC117-MPRA3-AP1121-26-LI_alt1_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,4,4alt1,lt1,ZC117-MPRA3-AP1121-26-LI_lt1,AP1121_lt1,Large_Intestine_lt1,Allele
ZC117-MPRA3-AP1121-26-LI_alt1_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,5,5alt1,lt1,ZC117-MPRA3-AP1121-26-LI_lt1,AP1121_lt1,Large_Intestine_lt1,Allele
ZC117-MPRA3-AP1121-26-LI_alt2_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,1,1alt2,lt2,ZC117-MPRA3-AP1121-26-LI_lt2,AP1121_lt2,Large_Intestine_lt2,Allele
ZC117-MPRA3-AP1121-26-LI_alt2_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,2,2alt2,lt2,ZC117-MPRA3-AP1121-26-LI_lt2,AP1121_lt2,Large_Intestine_lt2,Allele
ZC117-MPRA3-AP1121-26-LI_alt2_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,3,3alt2,lt2,ZC117-MPRA3-AP1121-26-LI_lt2,AP1121_lt2,Large_Intestine_lt2,Allele
